directory,ipTM,IPSAE,LIS,iLIS
P22612,0.63,0.046718,0.2035,0.810193
P22694,0.63,0.031358,0.2301,0.804754
P23443,0.56,0.546227,0.3743,0.756046
P24723,0.5,0.442073,0.3019,0.799599
P24941,0.56,0.0,0.0484,0.787172
P25092,0.31,0.0,0.0,0.311834
P25098,0.64,0.01334,0.0642,0.710759
P25440,0.17,0.0,0.0,0.438319
P27361,0.63,0.014607,0.1192,0.806262
P27448,0.4,0.125874,0.1846,0.787427
P28482,0.63,0.014622,0.1233,0.791101
P30291,0.4,0.0,0.0,0.781402
P31152,0.45,0.0,0.0125,0.757452
P31749,0.6,0.516247,0.3561,0.783932
P31751,0.59,0.508532,0.388,0.770469
P32298,0.65,0.367057,0.2564,0.754679
P33981,0.35,0.0,0.0,0.758610
P34947,0.67,0.192205,0.2616,0.806720
P35626,0.65,0.0,0.0242,0.734570
P36507,0.57,0.012792,0.0967,0.825000
P41279,0.53,0.0,0.0,0.794588
P41743,0.5,0.0,0.0,0.803244
P42345,0.57,0.0,0.0,0.530840
P43250,0.66,0.529399,0.3474,0.750488
P45983,0.57,0.0,0.0042,0.789332
P45984,0.57,0.010305,0.0285,0.778763
P45985,0.49,0.0,0.0233,0.799836
P46734,0.54,0.011515,0.0808,0.808333
P48729,0.59,0.064952,0.2279,0.813978
P48730,0.51,0.146308,0.2503,0.801699
P49137,0.53,0.065601,0.2102,0.816267
P49336,0.61,0.525294,0.3661,0.744923
P49674,0.52,0.049966,0.2275,0.794892
P49759,0.54,0.204669,0.2656,0.790860
P49760,0.59,0.537518,0.4256,0.794023
P49761,0.6,0.534399,0.4222,0.776218
P49840,0.54,0.013881,0.0948,0.814892
P49841,0.61,0.091833,0.2088,0.825000
P49842,0.37,0.019045,0.192,0.621404
P50613,0.53,0.0,0.0302,0.737159
P50750,0.61,0.018874,0.1531,0.825621
P51812,NA,NA,NA,NA
P51817,0.56,0.063391,0.2297,0.774804
P51841,0.34,0.0,0.0,0.558192
P51955,0.45,0.010734,0.0576,0.762047
P51956,0.45,0.0,0.0,0.800000
P51957,0.37,0.0,0.0,0.724520
P52564,0.53,0.0,0.0225,0.822986
P53004,0.35,0.016392,0.1408,0.587084
P53350,0.61,0.0,0.0,0.727528
P53355,0.27,0.0,0.0,0.258987
P53778,0.58,0.0,0.025,0.793817
P53779,0.55,0.0,0.0156,0.769307
P54646,0.46,0.0,0.0,0.661199
P57058,0.45,0.010734,0.0539,0.763939
P57059,0.43,0.105119,0.1924,0.772043
P68400,0.56,0.0,0.0,0.803963
P78362,0.51,0.014654,0.0747,0.758956
P78368,0.53,0.181067,0.3012,0.833333
P78527,0.59,0.0,0.0,0.392299
Q00526,0.57,0.01382,0.1215,0.821141
Q00532,0.56,0.059922,0.1921,0.826584
Q00534,0.55,0.0,0.0167,0.816667
Q00535,0.56,0.013963,0.1393,0.807323
Q00536,0.53,0.0,0.0,0.833333
Q00537,0.51,0.0,0.0042,0.816667
Q02156,0.49,0.283101,0.25,0.785217
Q02750,0.57,0.0,0.0062,0.821841
Q02846,0.34,0.0,0.0,0.598971
Q04759,0.47,0.0,0.0,0.702558
Q05513,0.53,0.017934,0.1277,0.824194
Q05655,0.53,0.016586,0.1242,0.782007
Q05823,0.52,0.0,0.0,0.694920
Q07002,0.52,0.0,0.0,0.796774
Q09013,0.53,0.051267,0.1959,0.800000
Q12851,0.37,0.0,0.0,0.737383
Q12979,0.25,0.0,0.0,0.416092
Q13043,0.48,0.0,0.0,0.724310
Q13131,0.43,0.015054,0.1052,0.714524
Q13153,0.49,0.061593,0.203,0.721333
Q13163,0.53,0.0,0.0,0.807527
Q13164,0.42,0.0,0.0,0.729771
Q13177,0.5,0.036341,0.1956,0.725507
Q13188,0.48,0.0,0.0,0.758436
Q13233,0.31,0.42681,0.3031,0.624623
Q13237,0.57,0.013345,0.0776,0.746572
Q13263,0.14,0.0,0.0,0.268623
Q13315,0.55,0.0,0.0,0.545992
Q13464,0.39,0.014161,0.1169,0.739867
Q13523,0.4,0.0,0.0,0.800578
Q13535,0.5,0.014668,0.0749,0.477620
Q13554,0.4,0.0,0.0,0.769525
Q13555,0.45,0.41612,0.3053,0.785627
Q13557,0.45,0.0,0.0,0.751629
Q13627,0.44,0.013047,0.0893,0.816399
Q13976,0.56,0.013928,0.1075,0.749383
Q14004,0.33,0.0,0.0,0.795676
Q14012,0.51,0.042587,0.1563,0.759934
Q14164,0.61,0.0,0.0,0.745635
Q14296,0.4,0.0,0.0,0.586022
Q14680,0.51,0.0,0.0,0.761955
Q15059,0.16,0.0,0.0,0.475586
Q15118,0.59,0.0,0.0139,0.849194
Q15119,0.61,0.0,0.0372,0.856158
Q15120,0.6,0.010959,0.0263,0.815834
Q15131,0.57,0.015751,0.1548,0.790792
Q15139,0.4,0.0,0.0312,0.717742
Q15208,0.55,0.019451,0.1324,0.783333
Q15349,NA,NA,NA,NA
Q15418,NA,NA,NA,NA
Q15746,0.3,0.0,0.0,0.700893
Q15759,0.61,0.01842,0.1198,0.766757
Q15772,NA,NA,NA,NA
Q15831,0.52,0.118258,0.2176,0.767097
Q15835,0.7,0.561301,0.3439,0.765795
Q16512,0.43,0.0,0.0,0.759139
Q16513,0.43,0.0,0.0,0.701013
Q16539,0.56,0.0,0.0338,0.703763
Q16566,0.47,0.0,0.0,0.776613
Q16644,0.52,0.020812,0.181,0.800184
Q16654,0.61,0.0,0.0198,0.839477
Q16659,0.41,0.0,0.0,0.744086
Q16816,0.52,0.013045,0.0866,0.823525
Q2M2I8,0.37,0.0,0.0,0.821505
Q32MK0,0.36,0.0,0.0,0.757090
Q3MIX3,0.55,0.0101,0.0413,0.717681
Q504Y2,0.57,0.0,0.0523,0.856090
Q52WX2,0.5,0.0,0.0,0.828618
Q56UN5,0.29,0.0,0.0,0.785650
Q58A45,0.44,0.0,0.0,0.757097
Q58F21,0.19,0.0,0.0,0.436752
Q5MAI5,0.55,0.1764,0.1404,0.828952
Q5TCY1,0.34,0.481485,0.3712,0.816867
Q5VST9,NA,NA,NA,NA
Q5VT25,0.45,0.010516,0.061,0.706452
Q6DT37,0.52,0.016727,0.1437,0.743167
Q6IBK5,0.09,NA,NA,NA
Q6IQ55,0.35,0.532257,0.3927,0.806333
Q6P0Q8,0.39,0.0,0.0,0.793145
Q6P2M8,0.5,0.0,0.0,0.724731
Q6P3R8,0.37,0.013595,0.1099,0.733333
Q6P3W7,0.15,0.0,0.0,0.205952
Q6P5Z2,0.53,0.0,0.0,0.667113
Q6PHR2,0.53,0.05422,0.1571,0.723767
Q6SA08,0.6,0.254061,0.2374,0.797043
Q6XUX3,0.53,0.0,0.0,0.722043
Q6ZN16,0.41,0.0,0.0,0.575325
Q6ZWH5,0.42,0.0,0.0,0.614053
Q76MJ5,0.49,0.0,0.0,0.692456
Q7KZI7,0.39,0.010305,0.0383,0.771596
Q7L7X3,0.5,0.0,0.0,0.718654
Q7RTN6,0.54,0.0,0.0,0.729968
Q7Z2Y5,0.3,0.0,0.0,0.655935
Q7Z695,0.53,0.0,0.0,0.758871
Q7Z7A4,0.59,0.017273,0.1246,0.871913
Q86SG6,0.33,0.0,0.0,0.644604
Q86TB3,0.31,0.0,0.0,0.707054
Q86TW2,0.6,0.0,0.0,0.777225
Q86UE8,0.5,0.039682,0.1558,0.693260
Q86UX6,0.51,0.036822,0.2165,0.748096
Q86V86,0.54,0.226162,0.2881,0.822629
Q86Y07,0.49,0.016114,0.1678,0.763369
Q86YV5,0.22,0.0,0.0,0.255556
Q86YV6,0.53,0.081707,0.1751,0.793768
Q86Z02,0.37,0.011191,0.0548,0.812856
Q8IU85,0.48,0.0,0.05,0.731779
Q8IV63,0.32,0.0,0.0319,0.655764
Q8IVH8,0.36,0.01483,0.0959,0.711623
Q8IVW4,0.46,0.09607,0.142,0.793967
Q8IW41,0.5,0.0,0.0485,0.830108
Q8IWB6,NA,NA,NA,NA
Q8IWQ3,0.43,0.116692,0.2131,0.768650
Q8IY84,0.64,0.46629,0.3204,0.822849
Q8IYT8,0.33,0.013597,0.0698,0.748007
Q8IZE3,0.26,0.038927,0.2259,0.344740
Q8IZL9,0.54,0.0,0.0155,0.765446
Q8IZX4,0.19,0.0,0.0,0.121478
Q8N165,0.58,0.010516,0.074,0.798656
Q8N2I9,0.44,0.010305,0.0587,0.691012
Q8N4C8,0.33,0.0,0.0,0.693804
Q8N568,0.38,0.150283,0.1741,0.785943
Q8N5S9,0.47,0.015013,0.0372,0.765150
Q8N752,0.58,0.019679,0.1892,0.835484
Q8NCB2,0.36,0.0,0.0358,0.722233
Q8NE28,0.39,0.0,0.0,0.677688
Q8NE63,0.51,0.016518,0.1623,0.817473
Q8NEV4,0.45,0.0,0.0,0.680072
Q8NG66,0.41,0.0,0.0,0.730108
Q8NI60,0.51,0.0,0.0,0.800000
Q8TAS1,0.65,0.015171,0.1381,0.830551
Q8TD08,0.49,0.013042,0.1061,0.795201
Q8TD19,0.5,0.0,0.0,0.639247
Q8TDC3,0.43,0.019864,0.1969,0.781720
Q8TDR2,0.46,0.0,0.0196,0.781263
Q8TDX7,0.55,0.276003,0.3019,0.743280
Q8TEA7,0.36,0.013652,0.0729,0.544204
Q8TF76,0.42,0.012089,0.0875,0.830342
Q8WTQ7,0.61,0.056994,0.2671,0.674402
Q8WU08,0.57,0.04392,0.2205,0.749731
Q8WXR4,0.55,0.0,0.0,0.709957
Q8WZ42,NA,NA,NA,NA
Q92519,0.49,0.220768,0.2838,0.741988
Q92630,0.53,0.013531,0.1066,0.810265
Q92772,0.51,0.265298,0.2478,0.810215
Q92918,0.42,0.0,0.0,0.741775
Q96BR1,0.57,0.532249,0.4103,0.783333
Q96C45,0.32,0.0,0.0,0.701135
Q96D53,0.54,0.0,0.0,0.790323
Q96GD4,0.5,0.018409,0.191,0.775900
Q96GX5,0.39,0.0,0.0,0.717473
Q96J92,0.31,0.0,0.0,0.696062
Q96KB5,0.56,0.013595,0.1234,0.834409
Q96KG9,0.29,0.018341,0.1209,0.388889
Q96L34,0.41,0.154158,0.1825,0.779567
Q96L96,0.28,0.0,0.0,0.234722
Q96LW2,0.57,0.36102,0.3166,0.841667
Q96NX5,0.43,0.0,0.0228,0.718214
Q96PF2,0.5,0.015372,0.156,0.814394
Q96PN8,0.59,0.149893,0.2424,0.782796
Q96PY6,0.3,0.0,0.0,0.694609
Q96Q15,0.47,0.0,0.0,0.327483
Q96Q40,0.53,0.011677,0.072,0.797271
Q96QP1,0.55,0.0,0.0,0.732747
Q96QS6,0.53,0.013481,0.1216,0.792827
Q96QT4,0.3,0.0,0.0,0.654360
Q96RG2,0.33,0.142618,0.1574,0.777127
Q96RR4,0.42,0.0,0.0,0.758467
Q96RU7,0.41,0.074669,0.2417,0.707778
Q96RU8,0.42,0.095663,0.2292,0.652607
Q96S38,0.34,0.0,0.0,0.765368
Q96S44,0.54,0.018131,0.1593,0.847640
Q96SB4,0.5,0.0,0.0429,0.778711
Q99558,0.39,0.0,0.0,0.770313
Q99570,0.3,0.0,0.0,0.522480
Q99640,0.5,0.442978,0.3613,0.834205
Q99683,0.34,0.0,0.0,0.657564
Q99759,0.46,0.0,0.0417,0.743011
Q99986,0.56,0.084069,0.2196,0.775806
Q9BQI3,0.43,0.0,0.0,0.727645
Q9BRS2,0.47,0.012252,0.0887,0.800000
Q9BUB5,0.48,0.010959,0.0679,0.787634
Q9BVS4,0.45,0.011191,0.0651,0.758693
Q9BWU1,0.51,0.012202,0.0608,0.731679
Q9BX84,0.31,0.0,0.0,0.613205
Q9BXA6,0.56,0.016351,0.1254,0.793052
Q9BXA7,0.5,0.0,0.0433,0.798624
Q9BXM7,0.57,0.0,0.0,0.792463
Q9BXU1,0.44,0.0,0.0392,0.764605
Q9BYP7,0.3,0.0,0.0,0.728532
Q9BYT3,0.49,0.432809,0.3362,0.799108
Q9BZL6,0.41,0.0,0.0312,0.715478
Q9C098,0.41,0.01143,0.0738,0.821237
Q9C0K7,0.53,0.01941,0.1784,0.786767
Q9H093,0.42,0.010516,0.0617,0.766639
Q9H0K1,0.38,0.014306,0.0896,0.783897
Q9H1R3,0.42,0.0,0.0,0.791667
Q9H2G2,0.48,0.0,0.0,0.751371
Q9H2K8,0.53,0.0,0.0,0.733223
Q9H2X6,0.37,0.0,0.0241,0.800567
Q9H422,0.38,0.010959,0.0282,0.809140
Q9H4A3,0.31,0.0,0.0,0.704801
Q9H4B4,0.4,0.273198,0.2024,0.778672
Q9H5K3,0.55,0.015679,0.1601,0.864833
Q9H792,0.18,0.0,0.0,0.212500
Q9HAZ1,0.67,0.681752,0.4871,0.804062
Q9HBH9,0.48,0.012912,0.0788,0.784677
Q9HBY8,0.71,0.525227,0.3865,0.779372
Q9HC98,0.51,0.25743,0.3252,0.716243
Q9HCP0,0.52,0.046016,0.2449,0.850000
Q9NQU5,0.44,0.31281,0.1899,0.818665
Q9NR20,0.54,0.012702,0.0773,0.826333
Q9NRH2,0.43,0.264557,0.2626,0.806361
Q9NRL2,0.2,0.0,0.0,0.139578
Q9NRM7,0.4,0.01577,0.1148,0.718355
Q9NRP7,0.3,0.014654,0.0518,0.626418
Q9NSY0,0.23,0.0,0.0241,0.360484
Q9NSY1,0.35,0.015385,0.0659,0.808065
Q9NY57,0.54,0.01842,0.0965,0.742622
Q9NYV4,0.33,0.0,0.0,0.804099
Q9NYY3,0.38,0.040111,0.1003,0.743557
Q9NZJ5,0.34,0.0,0.0,0.712888
Q9P0L2,0.4,0.252681,0.2281,0.772006
Q9P1W9,0.58,0.152033,0.2777,0.843817
Q9P286,0.4,0.116822,0.2677,0.780231
Q9P289,0.48,0.0,0.0,0.722396
Q9P2K8,NA,NA,NA,NA
Q9UBE8,0.55,0.373108,0.2323,0.799462
Q9UBS0,0.59,0.517967,0.3645,0.743788
Q9UEE5,0.52,0.014844,0.1604,0.841053
Q9UEW8,0.46,0.0,0.0,0.801050
Q9UHD2,0.61,0.014037,0.0903,0.688662
Q9UHY1,0.18,0.0,0.0,0.417087
Q9UIG0,0.21,0.0,0.0,0.362558
Q9UIK4,0.55,0.011553,0.0924,0.821505
Q9UK32,NA,NA,NA,NA
Q9UKE5,0.32,0.0,0.0,0.722207
Q9UKI8,0.5,0.012403,0.0706,0.713978
Q9UL54,0.34,0.0,0.0042,0.694340
Q9UPE1,0.57,0.0,0.0323,0.762437
Q9UPN9,0.19,0.016171,0.0739,0.208333
Q9UPZ9,0.41,0.0,0.0,0.782325
Q9UQ07,0.52,0.015874,0.1597,0.812704
Q9UQB9,0.52,0.017268,0.1788,0.785595
Q9UQM7,0.47,0.0,0.0,0.764106
Q9Y243,0.5,0.010959,0.0623,0.713823
Q9Y2H1,0.6,0.210653,0.1961,0.780185
Q9Y2H9,0.4,0.012749,0.0426,0.779210
Q9Y2K2,0.32,0.0,0.0,0.759101
Q9Y2U5,0.46,0.0101,0.0417,0.735215
Q9Y3S1,0.31,0.0,0.0,0.715934
Q9Y463,0.47,0.011445,0.0602,0.802897
Q9Y4A5,0.37,0.0,0.0,0.178205
Q9Y4K4,0.37,0.066828,0.1168,0.703999
Q9Y5P4,0.21,0.0,0.0,0.673063
Q9Y5S2,0.33,0.011553,0.06,0.644136
Q9Y6E0,0.5,0.0,0.0,0.746921
Q9Y6M4,0.57,0.482455,0.3923,0.843011
Q9Y6R4,0.45,0.0,0.0,0.553400
Q9Y6S9,0.42,0.012558,0.1212,0.752308
