directory,ipTM,IPSAE,LIS,iLIS
Q15208,0.13,0.0,0.0,0.000000
Q15349,0.19,0.0,0.0,0.000000
Q15418,0.21,0.0,0.0,0.000000
Q15746,0.21,0.0,0.0,0.000000
Q15759,0.36,0.022501,0.1892,0.261592
Q15772,0.26,0.0,0.0,0.000000
Q15831,0.53,0.473663,0.3453,0.490764
Q15835,0.45,0.034311,0.1972,0.262860
Q16512,0.22,0.0,0.0453,0.000000
Q16513,0.25,0.0,0.0562,0.112500
Q16539,0.38,0.017368,0.1377,0.182454
Q16566,0.15,0.0,0.0,0.000000
Q16644,0.55,0.354201,0.2987,0.385366
Q16654,0.35,0.024985,0.1809,0.264329
Q16659,0.38,0.376543,0.3431,0.516988
Q16816,0.24,0.014439,0.1298,0.159425
Q2M2I8,0.17,0.0,0.0,0.000000
Q32MK0,0.18,0.0,0.0,0.000000
Q3MIX3,0.42,0.055251,0.1555,0.183744
Q504Y2,0.27,0.0,0.0208,0.044194
Q52WX2,0.31,0.029758,0.2294,0.290660
Q56UN5,0.18,0.0,0.0,0.000000
Q58A45,0.19,0.0,0.0,0.000000
Q58F21,0.17,0.0,0.0,0.000000
Q5MAI5,0.2,0.0,0.0,0.000000
Q5TCY1,0.21,0.0,0.0,0.000000
Q5VST9,NA,NA,NA,NA
Q5VT25,0.24,0.0,0.0,0.000000
Q6DT37,0.28,0.0,0.0,0.000000
Q6IBK5,0.09,0.0,0.0,0.000000
Q6IQ55,0.24,0.01415,0.1138,0.126944
Q6P0Q8,0.25,0.015378,0.0995,0.111294
Q6P2M8,0.16,0.0,0.0,0.000000
Q6P3R8,0.32,0.251658,0.2642,0.335980
Q6P3W7,0.17,0.0,0.0,0.000000
Q6P5Z2,0.19,0.0,0.0,0.000000
Q6PHR2,0.55,0.415217,0.2763,0.354157
Q6SA08,0.49,0.107492,0.1997,0.261707
Q6XUX3,0.2,0.0,0.0,0.000000
Q6ZN16,0.18,0.0,0.0,0.000000
Q6ZWH5,0.29,0.011678,0.0518,0.076830
Q76MJ5,0.16,0.0,0.0,0.000000
Q7KZI7,0.18,0.0,0.0,0.000000
Q7L7X3,0.21,0.0,0.0167,0.033333
Q7RTN6,0.3,0.01304,0.0971,0.111243
Q7Z2Y5,0.2,0.0,0.0,0.000000
Q7Z695,0.14,0.0,0.0,0.000000
Q7Z7A4,0.29,0.012166,0.0759,0.098795
Q86SG6,0.28,0.032182,0.0998,0.184020
Q86TB3,0.22,0.0,0.0,0.000000
Q86TW2,0.26,0.011051,0.0561,0.074814
Q86UE8,0.33,0.019764,0.1716,0.204794
Q86UX6,0.3,0.01334,0.0818,0.089037
Q86V86,0.39,0.027581,0.2625,0.352971
Q86Y07,0.31,0.010734,0.032,0.059645
Q86YV5,0.19,0.0,0.0,0.000000
Q86YV6,0.23,0.0,0.0214,0.025000
Q86Z02,0.2,0.0,0.0,0.000000
Q8IU85,0.13,0.0,0.0,0.000000
Q8IV63,0.37,0.019277,0.175,0.262842
Q8IVH8,0.19,0.0,0.0,0.000000
Q8IVW4,0.17,0.0,0.0042,0.000000
Q8IW41,0.31,0.0,0.0413,0.054894
Q8IWB6,0.2,0.0,0.0,0.000000
Q8IWQ3,0.19,0.0,0.0,0.000000
Q8IY84,0.48,0.136481,0.1893,0.225235
Q8IYT8,0.25,0.014654,0.0907,0.121643
Q8IZE3,0.26,0.0,0.0332,0.041667
Q8IZL9,0.2,0.0,0.0,0.000000
Q8IZX4,0.22,0.0,0.0,0.000000
Q8N165,0.46,0.03003,0.1351,0.182850
Q8N2I9,0.42,0.03527,0.1858,0.253286
Q8N4C8,0.2,0.0,0.0,0.000000
Q8N568,0.2,0.0,0.0,0.000000
Q8N5S9,0.1,0.0,0.0,0.000000
Q8N752,0.39,0.017972,0.1146,0.132185
Q8NCB2,0.22,0.0,0.0149,0.015749
Q8NE28,0.19,0.0,0.0,0.000000
Q8NE63,0.35,0.020237,0.1784,0.241873
Q8NEV4,0.23,0.0,0.0,0.000000
Q8NG66,0.17,0.0,0.0,0.000000
Q8NI60,0.13,0.0,0.0,0.000000
Q8TAS1,0.68,0.500631,0.2961,0.347318
Q8TD08,0.24,0.020078,0.1803,0.243136
Q8TD19,0.14,0.0,0.0,0.000000
Q8TDC3,0.25,0.0,0.0459,0.054554
Q8TDR2,0.31,0.01577,0.1091,0.136255
Q8TDX7,0.44,0.016985,0.1713,0.223641
Q8TEA7,0.19,0.0,0.0,0.000000
Q8TF76,0.21,0.0,0.025,0.057032
Q8WTQ7,0.25,0.0,0.0,0.000000
Q8WU08,0.13,0.0,0.0,0.000000
Q8WXR4,0.43,0.25482,0.1561,0.239278
Q8WZ42,NA,NA,NA,NA
Q92519,0.59,0.473112,0.3887,0.498210
Q92630,0.21,0.0,0.049,0.076220
Q92772,0.17,0.0,0.0,0.000000
Q92918,0.47,0.503296,0.4106,0.580936
Q96BR1,0.53,0.552113,0.3586,0.389560
Q96C45,0.21,0.0,0.0,0.000000
Q96D53,0.14,0.0,0.0,0.000000
Q96GD4,0.48,0.208513,0.2443,0.258249
Q96GX5,0.2,0.0,0.0,0.000000
Q96J92,0.24,0.024439,0.199,0.234025
Q96KB5,0.17,0.0,0.0,0.000000
Q96KG9,0.15,0.0,0.0,0.000000
Q96L34,0.21,0.0,0.0,0.000000
Q96L96,0.23,0.0,0.0,0.000000
Q96LW2,0.21,0.0,0.0,0.000000
Q96NX5,0.23,0.0,0.0,0.000000
Q96PF2,0.38,0.019281,0.1848,0.231263
Q96PN8,0.2,0.0,0.0152,0.033537
Q96PY6,0.17,0.0,0.0,0.000000
Q96Q15,0.28,0.0,0.0,0.000000
Q96Q40,0.18,0.0,0.0,0.000000
Q96QP1,0.26,0.011988,0.0587,0.092515
Q96QS6,0.37,0.018734,0.1095,0.137367
Q96QT4,0.22,0.0,0.0,0.000000
Q96RG2,0.24,0.0,0.0,0.000000
Q96RR4,0.14,0.0,0.0,0.000000
Q96RU7,0.56,0.447529,0.3244,0.381102
Q96RU8,0.6,0.629729,0.4632,0.537885
Q96S38,0.17,0.0,0.0,0.000000
Q96S44,0.4,0.014654,0.1089,0.127232
Q96SB4,0.31,0.016367,0.1616,0.182331
Q99558,0.16,0.0,0.0,0.000000
Q99570,0.19,0.0,0.0,0.000000
Q99640,0.26,0.0,0.0,0.000000
Q99683,0.18,0.0,0.0,0.000000
Q99759,0.37,0.178792,0.2076,0.268416
Q99986,0.17,0.0,0.0,0.000000
Q9BQI3,0.12,0.0,0.0,0.000000
Q9BRS2,0.14,0.0,0.0,0.000000
Q9BUB5,0.46,0.343032,0.2893,0.330741
Q9BVS4,0.13,0.0,0.0,0.000000
Q9BWU1,0.17,0.0,0.0,0.000000
Q9BX84,0.25,0.0,0.0,0.000000
Q9BXA6,0.61,0.262537,0.25,0.319182
Q9BXA7,0.22,0.0,0.0,0.000000
Q9BXM7,0.14,0.0,0.0,0.000000
Q9BXU1,0.21,0.0,0.0221,0.031667
Q9BYP7,0.21,0.0,0.0,0.000000
Q9BYT3,0.17,0.0,0.0,0.000000
Q9BZL6,0.29,0.025353,0.1188,0.156557
Q9C098,0.22,0.0,0.0409,0.043929
Q9C0K7,0.3,0.020659,0.1988,0.274270
Q9H093,0.27,0.042581,0.2687,0.378111
Q9H0K1,0.23,0.0,0.0,0.000000
Q9H1R3,0.14,0.0,0.0,0.000000
Q9H2G2,0.2,0.0,0.0,0.000000
Q9H2K8,0.25,0.0,0.025,0.044806
Q9H2X6,0.21,0.0,0.0,0.000000
Q9H422,0.2,0.0,0.0,0.000000
Q9H4A3,0.24,0.0,0.0,0.000000
Q9H4B4,0.21,0.010734,0.0628,0.076012
Q9H5K3,0.36,0.011928,0.0551,0.070976
Q9H792,0.21,0.0,0.0,0.000000
Q9HAZ1,0.22,0.01143,0.0593,0.073030
Q9HBH9,0.4,0.13505,0.1968,0.255382
Q9HBY8,0.44,0.022949,0.2067,0.283724
Q9HC98,0.48,0.093985,0.2116,0.292270
Q9HCP0,0.17,0.0,0.0,0.000000
Q9NQU5,0.34,0.105821,0.1486,0.174899
Q9NR20,0.21,0.0,0.0625,0.083333
Q9NRH2,0.31,0.093032,0.138,0.163714
Q9NRL2,0.3,0.016939,0.1212,0.177381
Q9NRM7,0.26,0.018548,0.0882,0.122904
Q9NRP7,0.21,0.0,0.0,0.000000
Q9NSY0,0.23,0.360073,0.4476,0.529178
Q9NSY1,0.2,0.0,0.0,0.000000
Q9NY57,0.25,0.0,0.0,0.000000
Q9NYV4,0.2,0.0,0.0,0.000000
Q9NYY3,0.22,0.017506,0.1047,0.154301
Q9NZJ5,0.17,0.0,0.0,0.000000
Q9P0L2,0.16,0.0,0.0,0.000000
Q9P1W9,0.51,0.143789,0.2702,0.373665
Q9P286,0.21,0.0,0.0365,0.053791
Q9P289,0.12,0.0,0.0,0.000000
Q9P2K8,0.3,0.012331,0.0635,0.084482
Q9UBE8,0.31,0.0,0.0226,0.043416
Q9UBS0,0.38,0.120772,0.1825,0.218672
Q9UEE5,0.27,0.019451,0.0725,0.099425
Q9UEW8,0.17,0.0,0.0229,0.068402
Q9UHD2,0.19,0.0,0.0,0.000000
Q9UHY1,0.25,0.325211,0.388,0.448567
Q9UIG0,0.23,0.0,0.0,0.000000
Q9UIK4,0.21,0.0,0.0083,0.016667
Q9UK32,0.17,0.0,0.0,0.000000
Q9UKE5,0.25,0.012722,0.0723,0.093847
Q9UKI8,0.17,0.0,0.0,0.000000
Q9UL54,0.2,0.0,0.0,0.000000
Q9UPE1,0.19,0.0,0.0154,0.036553
Q9UPN9,0.19,0.015206,0.1423,0.155504
Q9UPZ9,0.18,0.0,0.0,0.000000
Q9UQ07,0.52,0.440234,0.312,0.332036
Q9UQB9,0.35,0.021169,0.1151,0.141996
Q9UQM7,0.39,0.103879,0.1171,0.159374
Q9Y243,0.14,0.0,0.0,0.000000
Q9Y2H1,0.14,0.0,0.0,0.000000
Q9Y2H9,0.27,0.01937,0.1614,0.206591
Q9Y2K2,0.22,0.0,0.0,0.000000
Q9Y2U5,0.3,0.064713,0.1662,0.202837
Q9Y3S1,0.25,0.0,0.0,0.000000
Q9Y463,0.34,0.032336,0.2082,0.268407
Q9Y4A5,0.34,0.0,0.0,0.000000
Q9Y4K4,0.16,0.0,0.0,0.000000
Q9Y5P4,0.32,0.072631,0.1756,0.233520
Q9Y5S2,0.2,0.0,0.0,0.000000
Q9Y6E0,0.17,0.0,0.0,0.000000
Q9Y6M4,0.35,0.024524,0.1925,0.269833
Q9Y6R4,0.23,0.0,0.0,0.000000
Q9Y6S9,0.21,0.087423,0.3273,0.462175
